,Mast Cells,Neutrophil Cells,Eosinophil Cells,B Cells Memory,B Cells Naive,Plasma Cells,T Cells CD8 Actived,T Cells CD8 Naive,T Cells CD8 Memory,M0 Macrophage,M1 Macrophage,M2 Macrophage,Treg Cells,T Cells CD4 Memory,T Cells CD4 Naive,T Cells CD4 Follicular,Th1 Cells,Th17 Cells,Th2 Cells,Monocyte,GammaDelta T Cells,NK Resting,NK.Actived,DC Actived,DC Immature
Ngp,39.2379952746,18916.3532127888,5776.0376399339,65.8176890521,65.300643125,70.8743860097,38.6719840792,53.645295241,57.4739552934,45.929185224,36.5953654761,41.0620419198,56.5084482671,44.3978940965,46.4924211564,39.045338165,38.7516749773,47.7250526708,60.8985321696,207.9926287115,54.4393795338,83.1821259583,46.163783939,1812.8502377601,3399.4560070381
Camp,41.104777341,16257.7164425549,320.9129015305,61.6156829966,55.4712450337,52.8500797253,40.9035987403,48.8713689788,51.3270293304,48.0577990857,82.8887991669,57.483196577,68.8019485385,47.5146666991,50.1818581814,44.9509428833,61.5475673584,56.8600966911,61.68525781,179.5970030916,47.9601205362,88.31975084,62.7750229911,650.5777573339,884.4545075932
Mmp8,69.2756175639,12196.4862619111,572.6449994413,39.4067529271,30.706337142,43.6339247471,18.768777614,27.0283788263,23.8245685953,569.888038704,90.9621745913,359.0472520286,23.6941752683,20.1707219573,22.5179543201,25.4466740223,29.5365981945,25.5868325896,29.8796621205,565.2052254778,26.4497920829,27.2701529295,24.2508993679,2041.1455361,4568.4981268778
Cd177,16.2304554231,11646.9077598356,86.6808787458,12.656064537,10.9158826279,12.4785290469,15.1775908665,11.8827833145,14.2902569574,17.2979474952,18.2356661091,16.7739514606,16.5189012408,15.8577976894,19.8181448489,13.5438283596,16.4552916831,15.4353503268,14.9082280207,817.0575818446,15.7680149736,15.0971545572,13.5221462895,38.1409158496,96.7004740907
Mmp9,34.2733108186,10154.763808079,435.8018456189,51.435895754,48.785544098,47.8811467272,30.7982063031,33.860734052,35.0698230861,47.7057762901,50.1503272711,45.26174532,44.4275281533,76.0931529433,47.9938135706,44.3541808192,27.5392159087,51.7275716618,39.6730797169,29.9617270471,30.5989226914,44.5885096042,38.0890986659,261.1496272166,451.6597299833
Fpr2,30.5686971031,10047.4989781163,171.6638272925,38.4471150341,39.0614456536,46.6753312728,46.2295752966,54.2655320408,53.6184882532,381.7570865014,8546.688136566,132.5987349098,30.1716376639,28.661556839,30.353910595,30.8605241703,25.4491209685,47.8248840859,31.8180394258,2170.368170319,35.812116956,38.2561556927,26.1239023372,5629.9178413773,3522.2994896851
Ifitm6,28.6662669797,9701.38875725,480.5093648173,34.0272798442,26.3678683349,33.6007169416,23.4007533611,26.982194672,28.1584813419,91.3607524978,213.8904665887,41.267728569,27.2872622636,24.535852624,22.5292836114,21.3109012718,24.503076909,33.9835193099,64.4468553148,7605.0133924139,26.0193060046,29.7715804646,29.7436579394,392.4816574176,1050.4317967424
Chi3l3,23.0025091476,9514.7456826479,1180.3729110844,9.8035740372,11.064887397,10.1948957181,9.2345526748,10.7049396178,12.6617345775,30.0697752386,13.2331894385,580.3073428257,14.4746595986,15.1381143747,11.1630534024,10.9384479755,11.5694749307,12.5155457749,67.7718496009,8353.6764213489,10.9145178383,17.548427901,10.5980273934,6416.3683634146,7930.9618035715
1810033B17Rik,34.8851840977,6147.6096312328,205.2120735949,38.1101917192,50.1163501712,55.8723083025,40.1737096097,44.0420103055,41.3483282738,70.9549933931,80.5405199021,39.7660798462,38.3093470815,37.2084322904,32.7604824836,27.2980404511,46.3117398039,40.7912389641,37.2543591786,4014.7687405725,46.5946014448,60.5631557601,47.124548232,1399.7205496425,1955.2799817699
Itgb2l,69.708120318,5640.2118870825,119.1366709568,58.7638286079,70.7389735023,67.3898732559,69.6405975671,65.0346102861,52.2153910872,50.3922903169,74.5074758343,59.4612367326,52.3089851971,92.5811843812,54.0585991729,52.0502035929,65.610079678,54.8073892096,51.1057446483,86.7467941802,51.8507323672,57.3960717955,49.2792930425,121.2100302466,143.4410813249
Trem3,38.705684635,5347.6617432031,212.3665621792,66.8500235963,65.5294082054,56.469598791,33.8533725885,44.5678389224,44.7292172173,43.116913097,106.5283224267,39.0050997931,39.5681464024,52.0762710664,41.7451970993,40.5338707934,32.5561438802,33.7206566132,37.9167948703,1834.9260364428,64.0402028424,47.0400622082,54.8916190372,207.451256332,131.1899173821
Nfe2,1117.1067868139,4863.7521728177,3243.6583574353,38.9904629077,24.2994070972,27.4668031326,17.4923394492,18.5332406916,19.3147315183,22.0718206462,18.6408280008,37.1609654273,27.2184743323,30.1330899527,22.464485218,36.350672513,24.8964583593,23.5929225378,23.8533890559,2075.6397190428,20.1557380976,95.228355858,30.8273435524,80.2310697896,432.5758720321
Csf3r,65.7451180955,4749.038868504,210.728833019,81.116347641,79.0999601173,88.1910121945,50.5235848993,64.1477054838,59.4359611117,504.9249179698,889.8911006682,890.5701950223,63.813685876,77.5386461864,67.6934064884,64.5127978508,74.6508324832,64.0362417788,55.1731462469,1562.9406936761,72.259596831,60.4810211722,42.8184171832,564.0015579028,471.1346108208
Fpr1,25.9141030013,4740.2184940128,152.7182221695,34.4419888559,24.7785615852,57.4641948184,23.5420732229,32.1169083623,32.2447376091,102.764842419,3854.3901874957,36.5753082619,28.3926991409,46.2590356639,31.0687222603,27.1452172432,27.0924628567,26.2988832265,27.5625141273,161.2279544833,34.4537171637,30.3650662583,22.3537421415,2026.4290534287,1168.0391198091
Pram1,75.7199863078,4583.1183694233,127.8344906379,223.2423699803,138.3107642067,205.2159305065,55.2137443875,81.6669705715,67.4684709362,77.2866885118,80.4532271032,59.7801904785,61.897731777,124.6262732529,86.3239658442,66.1808617953,74.9250612542,63.5666884482,55.7892349377,895.588782432,62.4248612572,100.7579202352,77.1418048019,118.1339749172,278.4181880935
Clec4d,107.287043749,4548.0662225413,1933.7902531187,36.3055981951,31.552557301,38.3859304119,22.8567047642,25.314662656,27.2378700854,6536.0127977097,4872.562308687,3721.6785421836,27.6040161582,24.5784029191,28.355036121,24.2591280879,26.1678755821,49.0672933568,30.5378077449,312.1887385337,26.7500830257,27.4285777716,35.7811796516,4440.5007027644,3910.6572309318
Sell,30.2432789899,4200.9023230066,911.9967871735,1458.5427227841,3370.7548623178,113.1930209572,727.7657245409,4363.1915046635,4631.3364232269,25.4144125583,780.4445755838,28.7834726777,1425.6225929474,644.3596619025,4251.5803885762,424.7087805536,248.4628092262,40.3014779447,34.620637157,985.6105943039,29.8407724991,3222.9423630817,1182.0142963171,309.0126515834,186.9921173888
Cd300lb,3411.126935091,4157.0106663408,4422.6441576709,30.6917504605,20.7934627056,22.1762501068,14.150770606,17.8570298473,16.5920776442,3181.539387869,646.5009080354,5987.5496600242,18.9382408697,24.7985151755,18.9828749187,18.5252198803,19.0203712827,15.9709939747,18.9325857909,3409.6441488494,62.5158590896,25.3925643214,34.7254649657,107.6574485201,1239.2695688668
Cxcr2,51.0806333713,3964.6524895611,338.5107600156,160.3986192304,75.2893621183,140.3401941732,43.0299408336,55.9716688189,51.6327717619,50.9886161992,43.1558295165,58.849110044,65.5121446912,80.9316433069,68.990982257,69.008741977,132.2689105659,95.0471897667,84.1594563778,81.4352948907,95.7103120874,117.8314534335,97.9712548519,91.8008347655,113.1474115348
Hck,54.612019175,3913.8639349082,2538.5514270003,905.6887010949,1071.0888646418,39.3974626056,16.4894770955,36.5673137326,49.693569369,1912.5843015725,4046.7233676616,998.144597746,32.1313795094,82.3351591618,24.5264350123,22.2952803682,32.2945765349,28.5427261895,25.4847415157,6533.5496936751,30.8224080224,85.2131565845,31.6944652746,4066.8095853892,1867.7806373215
Slfn1,16.1969537595,3815.9772886718,15.5618719135,15.5050999595,15.6551650544,13.2883776661,40.4693497739,294.8849375423,466.3337938352,22.4050613209,614.5058015637,14.9761902256,386.3405404583,826.6647108717,613.3774678503,225.0489250615,124.3853666946,1478.652862706,726.8926562788,848.7800822998,22.083349932,14.5078260564,14.5769266704,1753.6067894309,287.4390219224
Hk3,38.074159203,3491.9172439373,692.6564455453,78.8282616575,58.1079540917,66.4414544878,32.7713615669,56.7291471008,64.8463623652,1024.5487660554,3749.7422286543,1041.4040941578,39.7918899732,63.8575426769,52.2634205132,39.9912579888,32.8833656894,36.3961025886,37.1890121631,555.4303385281,46.8111572882,134.6973729561,86.2354285049,1598.6368064964,555.5765068639
Ltb,103.9418157406,3266.9971447549,2065.8692813858,2850.8930390229,3250.9567142762,53.0890376128,1486.1550894337,9130.6519657552,7694.7625706774,79.9766293892,171.0925948558,69.3865845506,7072.7624268108,5781.1371928048,9094.0865910526,7354.9160587179,212.9363740444,8462.5200291268,1596.8473752291,229.0767215076,2039.5945198901,1241.5172754076,463.531156623,128.2815576763,331.2111259113
Adpgk,96.0460627466,3093.975940332,249.8001002388,107.9984864539,103.5688821766,131.6812803264,135.5236167653,156.7298930705,211.8692345669,74.2821395692,59.163903015,84.4484250096,233.1052202621,140.5704832068,175.4734160834,99.884854188,251.0393575405,129.8102639732,131.0183778733,127.7128845955,65.3868674628,74.8287832892,110.534497928,76.9918538728,136.7525418389
Slfn4,21.0140156988,2987.3237296816,18.7734258154,28.1573567643,29.8562393333,28.5308591387,22.2933674005,20.8060154299,22.7851445875,41.9809962463,4949.4861289573,30.5101331913,29.3236146545,21.7463088598,26.9878223172,29.7424081896,18.7037448033,25.4261043833,23.4199705773,714.7832592871,25.8717048566,20.8168550892,21.6039188298,3067.1765246414,94.3561838144
Pilra,181.5077247617,2969.8468057716,285.012705636,20.6236952116,23.5438964733,25.7471851,19.0254794691,35.0144909034,41.888104686,102.0398292814,799.7804112026,59.4981744451,27.0101010902,21.031156862,25.00186939,23.2019301593,25.649958411,26.9718445944,23.5680417327,1093.5900945114,27.4335756808,29.3951007077,22.67769403,1778.0689894151,2080.9360654927
Pirb,928.3453493336,2942.4774273631,1631.0077273214,405.1441945947,424.239624457,50.5345295315,49.4521169704,45.7500940921,45.6341940312,1658.0614259875,2177.0909373419,961.9187548512,28.4982936495,119.72915779,42.3772702901,38.04849881,38.0799566459,31.5649548144,28.9273241919,3072.018347482,31.7487310069,40.7857993829,39.4524490955,1727.3408605002,1422.84861302
Itgam,18.3031939216,2898.0717983818,1151.9840241751,23.2389782326,25.2843534437,23.8837184309,17.7231378028,15.6635076984,17.014725963,1580.9734070622,1691.5117967992,1550.0283355491,20.1506456004,21.6334455818,23.4842664953,20.3118130666,19.9940754991,24.7106346146,17.0422342935,1075.6285630196,23.8942684387,232.9475726724,58.2625795704,986.2631424352,1394.7832442814
Padi4,19.9056917619,2745.4415497377,2177.2048202257,20.8573811816,21.2134569399,36.5313506431,20.2397216098,22.7684029482,21.8487178923,25.5324519574,20.6617894235,22.1637989231,23.2864267615,20.9837147072,27.1542785524,185.6391010149,18.7007018263,19.7797704487,24.5670264414,116.5910412697,21.3501967008,44.1295373511,32.3345557629,135.3903669767,230.7093224198
Igsf6,21.9364016704,2575.0838398876,869.4014780282,24.503946108,26.5914151741,24.1818317651,17.5485844536,27.5179583921,23.6599496804,1674.9337800734,1665.4789434356,1078.5281326963,19.4176989948,41.4649034608,20.3644926837,17.2487623232,23.9477116485,24.2801698605,17.8916712746,4112.8747180687,16.7475885239,29.7572057932,21.7989562202,1423.313631187,1379.7874041566
Alox5,4358.1706578717,2567.405796455,2195.9078060292,87.4355478423,75.7847320608,75.1421107603,65.7000269951,86.5551893485,70.0827832593,78.0160277294,84.1855555991,73.0102749588,72.7902746383,103.5307509846,74.2726783647,69.6813189332,64.9522198989,66.1741103557,218.3484805492,346.6441749122,124.5183726239,119.4026621104,103.6509319822,255.782248787,396.1242611878
Rgs18,3099.4789861267,2456.5738519172,1666.121515871,38.0543965514,180.9369383216,11.2986209711,12.3799296164,12.3298944418,12.158403897,656.4709878036,23.8914147404,315.0606482302,12.2959272491,11.1610337849,11.4672660588,11.9300429627,11.0699198466,10.9609607409,16.5850416553,761.4004776442,11.2481550516,65.5139136074,84.5698126274,36.487956235,190.9831419131
Il1b,251.7810124878,2374.4032112806,866.3860690108,51.6506520327,49.9829952129,65.6926098061,53.2123649307,66.7071492426,53.7477144903,89.0401681629,2652.3118946139,93.3677848389,49.4466865069,67.956241575,45.4664531157,45.7105270721,53.6972130823,140.3581114075,45.8200329521,628.7582567741,44.8327112388,105.2395947727,62.5741389621,7568.5956375584,667.1797880071
Fgr,47.47654504,2292.1723554296,550.366689514,215.9429479835,186.7060940414,111.1082142284,66.5354956723,65.3887967535,89.127131212,133.2859848776,197.4510973202,190.3908449277,72.9551792422,88.890101625,53.7312352184,63.0863921144,88.9435216281,51.9089057371,52.8633689663,2024.8842022918,367.4295226337,184.3618215615,133.4873240318,428.1023312049,604.81785357
Fcgr4,37.828977757,2160.0276276085,291.5273255534,34.1664971742,30.9643423786,32.2128068062,29.343589096,47.6851745194,64.8321127795,1061.2896730635,5424.9765323905,866.1097827313,29.3276515132,30.7896236136,27.3648031347,27.2467347974,30.7176933085,28.2347491498,27.1417525904,759.2999456536,37.2247352297,31.4849273081,28.2401711975,1151.7153912206,182.9938940328
