,Mast Cells,Neutrophil Cells,Eosinophil Cells,B Cells Memory,B Cells Naive,Plasma Cells,T Cells CD8 Actived,T Cells CD8 Naive,T Cells CD8 Memory,M0 Macrophage,M1 Macrophage,M2 Macrophage,Treg Cells,T Cells CD4 Memory,T Cells CD4 Naive,T Cells CD4 Follicular,Th1 Cells,Th17 Cells,Th2 Cells,Monocyte,GammaDelta T Cells,NK Resting,NK.Actived,DC Actived,DC Immature
Hemgn,13.5582744688,138.1733811502,40.4608937689,27.5967061163,71.2511164494,15.311766473,395.9690195797,12.2327012024,15.0137906606,12.7169337507,12.0262053496,12.1800263929,23.879081672,13.0535492926,13.5322449959,15.2471035609,20.4508749022,110.8197019607,73.2103855102,17.2741611188,14.3985087775,86.7686620969,903.3535211383,14.2631498801,14.6807754131
Rcbtb2,126.9716263248,138.1652472856,169.5371160297,83.8009816074,107.9111002705,418.5044621365,44.634715602,137.3135318093,181.8251523484,896.1250166875,92.0184592924,484.0430626684,91.7075293741,165.748955656,148.9584594062,134.4501293103,36.2966572452,113.5197624975,268.4959216347,154.8735313483,174.4945480055,130.7833652829,212.0386116357,122.3643587891,746.7206467303
Cd200r1,434.4481968783,129.9663043296,121.6366207374,14.0530617335,12.3689017868,13.5336630964,15.7817051132,19.9272064587,19.6846947308,435.9845801966,68.1459936639,362.0155063224,28.7480244504,24.087269595,66.9663614184,84.0782892786,15.8620156702,49.9898737264,470.127147822,16.7262644543,951.0325815878,16.7606860996,16.797705458,215.2348304798,623.7093542331
Itga2b,5982.2520567503,123.4175324342,2290.7431174125,87.3927115249,71.6332886457,91.2179670254,49.4747594569,61.1018420067,65.9347909489,65.8300791662,61.4758345241,60.290439139,67.5972750688,55.8262910205,84.9080875756,63.1144153502,52.8646363255,54.0384932776,72.2828228678,145.6032808998,72.8330668587,67.9765947638,56.9812300403,121.7317229637,109.380012226
Ubash3a,29.1615341887,123.3982041242,41.9022058694,29.9314107933,25.3971507477,31.4806162912,264.8495224736,267.8743423426,310.0023812954,29.0287983048,23.4084482256,26.7905435642,537.1280733776,439.0389953669,359.099453418,408.4577129612,227.1828971318,474.3728541671,563.1161179675,31.9413110134,27.7030738752,107.4342267679,123.8404658723,24.5500929807,25.5868718325
Emr4,15.2289278401,119.6464484301,960.7972704258,21.5763597045,24.0693242644,30.6881796532,16.119122678,36.2932631843,35.2704151737,143.9526091102,16.9236507812,74.9095235049,18.8527431119,22.7318190459,17.7000351303,16.9341527009,14.9334484917,15.9403623604,14.100369503,3149.4025120097,17.498784818,37.4526121789,15.5050900511,479.9221307515,1228.6915909144
Gimap3,118.3816427718,118.3001722239,58.2746904452,551.5419555254,386.9764558149,152.3986768763,263.1163035728,1402.4204077624,1869.5192659483,61.3818545757,62.8097487313,65.5183288077,2382.9669968195,3987.0996744153,1732.728183522,1358.6305411169,1063.4519937247,3463.2231943285,1958.3198823591,118.0363899604,2807.9793055919,1213.1208168647,1144.8972411318,209.6151181778,124.6629482184
Prg2,14.4365728284,113.5963677251,25141.7559110266,17.8964560136,13.93767506,37.8366328919,15.8742383667,17.0090457369,16.3522954695,22.1475390208,21.3499152926,17.6578914425,27.3467443174,18.8114529775,15.1620147462,15.0985716587,19.3324659189,13.4482665475,14.3333987972,19.6357680252,15.1910523314,14.3205591961,17.6081904776,1421.5993138842,1522.9992498946
Tal1,3178.7339035883,109.6722397252,425.6567266715,33.9783170525,25.2503808536,35.9529397844,23.9716894247,29.1571616559,27.3257221098,92.9564669326,76.2323560375,83.3524537065,26.6168186844,24.0079745355,24.1317745701,21.7813033446,23.6371434952,24.6180216242,23.0438006122,30.349338518,24.3163771305,27.8787985001,29.7682372538,145.3644233546,169.9089639679
Cd3e,57.6296682717,109.0497477725,44.3716258679,48.2372881284,49.8984304578,67.4662459852,475.8235450593,1133.7062293879,2931.729687976,54.3056017179,58.174920872,46.4610280806,1980.6108022425,1523.731337154,1651.9210638419,1504.663055351,1532.0133745565,2221.5830531118,1571.7760857962,79.8502479565,3367.0330479806,63.8893784702,64.801372997,77.4407039102,53.0098925897
Cd72,134.6876723758,107.1774077711,206.3973972255,1368.5504294997,2533.5146667636,59.3661586845,191.8374436589,893.0678514346,637.0680906225,829.3328213884,3569.6622211381,877.7096562657,390.0175447195,229.5162889489,315.7439542171,161.2168761249,56.359372915,266.5907031491,54.4898674377,62.9610573383,58.8126590312,1431.9394410667,623.2250362615,329.6381502157,134.0372941573
Trem2,90.2731791336,106.7479649633,593.5016835921,120.98096935,87.9608208237,111.2563770326,89.6306113629,110.239739085,85.1366662627,5166.8340767628,555.5544288033,4707.2269968318,68.0372314156,111.7375729117,92.6922373252,76.5548282857,94.0284653704,81.320155996,84.4614293111,262.0381848404,74.9351761799,160.5315926812,111.686376983,809.2087093162,1836.5843001326
Pyhin1,14.7121813841,105.6250288304,33.3389413821,2913.7720023851,4536.8408995181,1170.0576617104,203.1423059572,2596.8629354252,1821.8095492531,433.2896150804,4017.004006441,222.5122767549,239.9608079406,2128.5185412851,2142.8728962728,1233.4410975122,22.3756558117,712.8770433386,344.6437185711,2439.6870680616,459.9231426011,860.2155994293,338.3120235841,4859.7475167213,320.2275002631
Gpr35,35.087216084,105.1988652585,101.598467317,23.773932526,24.512619539,19.9993957373,22.4367850214,23.6780029409,22.2097954235,30.1722102885,104.4654196844,25.7006526661,20.6895492289,28.161626818,21.3570975326,48.9224253519,22.822788287,21.6351022824,20.306816198,1402.0146215238,22.4270771783,24.6487695428,20.8532499871,204.754084243,189.8268333125
Cd244,524.3232318018,103.2666807303,156.4710296547,31.8905885936,25.4728657554,14.576137526,24.4895502075,18.7793329126,26.9450420723,20.0641651998,23.7665495357,27.7945061014,16.1785568689,18.0551278367,16.6580721357,14.3810100599,16.7983687707,16.7763988902,25.4482368693,571.3061063035,4046.839758375,1764.9630165902,1982.4659283528,36.5260758222,72.2479207045
Fam71b,21.9568489395,102.4745713138,16.1005646598,18.35478281,16.5127858141,25.8930380895,389.4591923369,167.2496636074,89.3588683488,18.6047315533,16.847998044,21.0581282742,45.3324881262,21.2985111825,35.7160157177,53.8990257929,301.1845789877,86.6963467676,194.178536023,18.7703149768,68.3728110214,18.3409058333,24.793822771,21.856387722,19.6259226601
Cd6,51.6504582996,101.8334561001,48.6490539006,56.9044364366,78.9205860003,73.6236650671,750.3858814494,867.8159056834,1120.8638127979,50.0959720381,60.324868191,53.4943046712,1755.2015961653,2081.9038646417,1310.4898212193,1805.3660044016,2824.0575983267,1221.8600970423,291.3463281127,58.5441548453,69.2856327613,53.2466306863,51.2170843213,76.0349911042,79.1852169321
Ms4a1,20.0182925763,97.2414617019,15.2247103343,12133.270168234,10095.4276526532,1315.0098278969,22.2906523729,44.0111114771,23.037520533,19.455057175,16.492116062,19.0208182868,25.7148673689,73.1468846832,18.2360533935,18.3973169269,18.6916131471,16.0334202896,17.0749687345,46.634860845,22.4158394576,280.5714982461,17.6485278392,23.9027618255,23.5554456222
H2-DMb2,45.6983031567,93.6139696385,45.441346601,109.2689466231,112.913092553,37.8986483694,41.3286299309,43.4004142431,40.5297274804,64.2463098905,70.9833603217,65.2428794325,58.900389248,45.268882989,39.83571792,64.7763052265,46.4587164357,68.2828160295,41.255992659,93.5297714599,49.2978877738,51.0195084121,35.05470529,986.1076081368,1171.7879282434
Klrk1,34.4326006464,93.1113428517,58.2901443258,61.4584847433,56.0517682797,53.8106796209,1568.6413197235,97.8891588387,1605.4901539528,52.9304812698,1217.2063554901,52.0845995752,60.6459362573,67.896931978,68.7466767466,44.8832160771,1646.675147259,44.3745862003,41.4362491755,205.3871721587,78.2515614722,2536.1641471088,1932.5616621167,516.2721704491,233.9750604887
Fcgr1,40.2696613334,92.2325510325,103.9516963162,36.9364689861,30.7957463561,37.7545599374,29.2342584283,38.2399497391,41.5035526914,719.1101374585,2943.218471619,314.7260888104,40.2655263865,38.0935298825,45.3132122576,37.7139490372,31.2704367077,36.9723317037,42.1046992773,509.5042615078,35.1148508805,36.7502877747,34.0566193994,1461.6478149361,570.4753148249
Ly6i,50.1706880549,92.0085538136,50.8898923548,46.8734975932,46.585164804,45.2204299976,49.8689938577,44.6041259657,46.2991673109,75.592439963,494.9191855389,67.022138898,46.6231014412,42.7943007822,55.034818429,47.2977687606,56.6833058976,53.4202269194,50.5704400577,389.119632799,57.7655538434,44.7770308187,44.1805861213,2902.356409192,1161.9722766608
Ms4a4c,12.3247814614,91.4664922935,50.2133709873,260.1448066949,1890.3584229113,14.3015056345,880.750743493,1533.5991365982,3266.1523163086,238.9673774707,5316.1747309279,112.0424262433,105.0047258589,292.311158732,327.3705092325,180.5776076368,48.8060954935,21.7411103151,15.5734274985,4366.763905975,13.3445809512,391.0300117449,107.2280162102,2839.355168014,44.9107620893
Ly9,23.6474989147,90.7909672526,408.3363537285,124.4661026008,121.9189173922,137.8849214687,648.6203069618,1092.6499233342,1377.0733871676,1379.0584852857,1358.4673273525,1066.7697208837,638.1015932161,338.8476635732,1168.3263626455,1058.0491340311,292.9832598133,573.0353661606,476.6966816623,131.8891547318,46.8971817342,313.1523667056,208.5696933623,654.9443805316,250.4522751079
Klrb1a,12.8023825495,90.6051981778,15.538565993,10.2257556453,14.3762803502,10.853641222,15.3026884858,14.9095821222,14.5605391025,31.9115652427,12.7387751506,21.510476698,11.1267436296,14.7809772737,11.4815355505,38.219500062,12.7135044894,11.9202155543,11.9507114555,13.2584801609,64.1232043047,743.5012174222,440.3493580751,15.4798092692,57.4155485739
Ctsw,72.8782215106,88.7784853618,56.554553868,50.6584363002,33.023533589,74.0399142865,805.219022161,3664.1039236189,7643.5446988447,39.9863069771,46.8924295834,47.0706052573,2385.7223504703,1406.2051486224,818.405151341,363.4284527112,392.5396381906,1496.6981813245,206.1933940212,69.6656683789,7840.4197871041,5483.3940163526,5367.1706908353,64.427006706,56.7736763497
Hist1h1e,13.9259791242,88.4942606512,20.4512084375,144.9651781931,160.852737281,142.7750343696,51.2479521116,30.5914385754,26.737926196,13.0886837801,11.9603246875,12.1277580956,32.4306525168,17.0660076575,52.5846850403,44.8530933256,18.534434041,86.8690336267,73.9101222274,21.93656344,21.7164556495,38.412052836,15.327940305,12.7081064167,12.4845014323
Spib,23.8445778294,88.3164183159,101.1183608949,2404.2401747843,2032.696592464,24.8628642009,27.2107189056,26.940417476,25.07160248,22.5362161589,21.8159035459,22.1793040078,38.1298725548,48.9096184293,22.7304707109,28.2781845032,43.0000229382,25.0270723946,19.0082036474,44.3808481124,31.3496932382,87.4929774531,20.4527886827,152.4436238764,318.5828609611
Ighg1,28.4330409905,87.888600813,25.3497913101,1667.0566953533,26.8951619241,19649.6598132021,25.5297908311,25.5966340691,29.1127801209,29.5646332692,30.1285453431,29.2011350244,41.3073644712,34.1791659896,27.1270311986,30.2684157284,36.5639004546,26.8506426799,27.6488502757,40.7761362637,25.2468527142,21.7813556966,23.6201009689,23.056718098,24.287002463
Herc6,53.6285813242,87.4637379448,24.490044585,56.2376959491,61.211570135,45.7383525745,88.8004621376,131.0836989491,107.99859257,158.8221229906,1734.3047932647,106.0231820799,73.908651437,64.3084048259,112.0099773774,99.3316333023,78.7556500439,121.1122292453,112.7131005187,95.0517557647,69.0138774162,75.2882991443,98.6087988349,866.7953089331,64.3287517966
Gm20199,37.4644723536,83.3637050275,39.5776830163,803.6786339239,535.8825185006,306.4548071869,46.7363437373,80.3863336118,65.2718738194,38.5277530848,35.2845269906,43.9666807338,33.2750504501,56.205279986,89.7469063564,71.4596011812,38.6533872349,46.6771948614,43.8113985666,87.1545904122,64.2083435737,603.1821547295,258.5979663678,44.2799725911,41.6157732135
Cxcr3,36.4439210313,83.3117603708,60.1806727226,530.3960561229,38.5658026763,709.154972791,408.3476957666,417.2764937973,4701.2292560643,205.7279119591,44.6465091693,144.2434123719,348.8736477948,4029.2733838027,157.1024072632,2944.703727215,410.3283366589,50.5898990641,45.6168783628,68.5686400497,373.0770613858,2631.8092344802,1640.9749761715,51.405264652,47.6206469393
A430035B10Rik,40.4842288268,82.7537413136,39.428071119,26.5923719101,91.5129224166,193.6735122195,15.4761192835,23.5040488228,23.6314686306,26.80437738,19.2509002853,26.4121689615,21.6478466578,15.2488420471,27.0638062349,25.2381321174,14.3072630125,18.0639472362,16.5779813443,16.9735296493,27.6722231921,25.108141805,24.5860723628,16.6190828985,21.1075121157
H2-Eb2,61.2358957112,81.3958265361,47.6172831916,1425.456000996,1211.3826860555,452.1896948335,94.4986953628,103.0617224322,98.600260392,57.7020418867,104.2085993532,73.5209332757,69.1658396346,83.133908457,86.6778342948,70.7754886108,62.0882829889,58.259014263,61.05179638,73.0939534454,113.165607868,89.5883853892,59.4825935917,223.4001805689,158.5042751095
Nmrk1,150.1450182733,79.7819317538,124.5401292382,143.2992141658,30.7840675741,78.490600219,543.4825261394,118.0512675047,151.6333188637,113.3308359267,46.1911057772,79.2138073734,35.6082961028,19.4057708644,64.9316985059,35.9777571413,186.6298418857,133.3195120149,41.9311192887,14.5797539429,137.1693582498,31.3042218743,38.0542257573,33.1859384813,35.3344144561
Gpr114,48.2527779019,78.5993056855,54.7713166244,152.5960953962,72.9554534984,112.3477396645,193.6168029984,1460.9490334404,1650.0265951351,53.7612651233,62.3251938988,61.5694898814,68.4387837307,159.8268281618,76.3044762055,60.2911892245,105.0806376621,318.3246898958,61.6329102736,88.5369135288,1507.9439128562,299.3214928347,399.1050623213,64.3841221246,79.1850957621
Cpa3,16771.7224932819,77.9817775727,9487.6163984925,61.6975151174,26.2849434498,25.0844792863,32.2048107035,30.8475731565,25.1524672384,24.6167327391,25.6984596795,27.3079228254,27.1680894795,23.5684035761,24.3884048519,24.4533557405,44.6290690383,22.1727956638,46.34809787,31.5121169294,41.5352586728,27.870399705,23.5614114957,64.1923538193,77.0919141975
Faim3,20.316297126,76.9191204172,21.7391383026,5201.1739864454,10557.3159990958,92.3478532234,106.7289640532,29.5187975773,22.3999499948,20.7945718786,22.4058704634,20.5743669863,234.3872757902,205.0959151344,22.7689442183,92.497159641,82.6073079874,82.3215957391,322.7662910468,52.2406728473,22.4888492874,231.856104549,31.8946106409,46.4319691759,29.4373533333
Ccl3,2169.2424746226,75.9633338036,3646.8236222114,46.8923729766,17.4163750333,16.2819987424,9339.5106706434,29.8105584321,119.5842117695,564.9774575747,2656.3310076621,282.3750732978,94.7673254445,29.9085697058,17.3977868968,31.3212664821,9507.2874819605,79.9713656287,17.5358038347,102.8506466197,1054.3730409272,1366.8832060709,828.1102789954,6548.0941235394,394.7937021691
Cd4,63.1055494684,75.691093932,55.1471227777,68.0991766888,81.9125178304,79.9381591332,51.9040193098,56.8964507248,50.6781860862,58.6733094176,68.6823128219,60.5160744646,368.9224067947,321.1836379731,260.7456470803,351.3329683599,616.4468944171,2267.1238559791,1095.6742449256,75.2732951278,59.9370964894,79.5705454131,70.1518345467,75.8420953058,60.9812267462
Lck,62.0616537447,75.3027362522,48.2389971942,125.4239976128,171.5192911094,62.2168184311,1731.5132214755,4529.9097922386,5056.1871348818,61.5350735016,84.5218892091,54.1056581759,4549.1229134404,5041.149437527,5373.3661377053,5737.2247872744,2910.8537594922,4380.1115201796,2231.2926765713,89.6797322779,5017.4867615447,3500.7296900471,3360.9299643291,126.2767520096,66.6046929036
Ccr2,19.6570913065,75.2494011455,157.9777004048,15.7733255223,15.2324775479,17.184091043,103.4398557782,25.1203809875,201.8347586067,49.2838446832,30.3527614928,27.0440200655,43.2325932245,55.3081598087,26.7271939933,43.9099182168,60.9983054327,483.5648653191,3912.7029839586,2955.4259562121,15.7667232745,652.6950903749,986.1645657805,184.3183514817,1826.1121523201
Cd7,69.1754319402,74.3577112696,94.3606998448,48.7451750075,34.0553064777,50.35681375,78.6026022514,448.8244643505,819.5300872587,42.886238662,48.3675833434,46.5903213579,141.0808456152,181.9387984984,230.7575239284,87.6862046667,50.555649774,66.9706244777,54.3078826517,86.2735549249,14460.2727409223,888.4040086007,364.0271648,69.5624165435,59.4479501629
H2-Ea-ps,67.2789623298,73.667587549,52.3487344907,66.0445474292,100.0377146504,87.4994201382,61.0419714084,68.889173901,58.872694781,1147.2512112207,812.6018474453,1141.0577482514,57.2121614873,61.70622514,61.9778897561,52.1440361064,80.6582039777,52.1787299809,57.5565583537,76.6613532435,68.0423028689,66.4353900977,62.4679321322,82.9942802353,69.1839920973
Gpr18,22.7929019216,71.6956009455,604.5250142287,3795.7759805899,3439.376424436,521.3391740589,481.3016439223,1706.6150379779,1718.7316539672,58.8842999183,925.8013100973,38.8528134876,645.5563861867,903.2363541839,1110.1790622195,302.5290136561,1052.4171615358,1277.1428930326,41.9738309425,846.8248760627,4346.2537528959,890.2293786852,357.6935336519,67.8498268757,61.3894437295
Nkg7,48.0958889078,71.6290652266,135.1034332651,25.6004749592,21.3319620344,22.0274167439,3249.3052792394,2983.4224934347,7888.4288406211,22.1937113956,23.5158883306,18.9061408986,499.7434953619,671.4606572873,161.2419973885,267.1448197964,3522.8172800119,44.5259029956,87.3373157461,72.59458723,8616.7001542423,7749.9188683504,6636.1290970642,29.2211598682,25.9407351797
Lair1,78.8890148949,71.3085713382,351.6763037405,27.7257875551,19.9061008559,19.9578675117,28.4846055451,82.9561193066,185.7718883132,503.3798583491,434.8054383072,902.0377921937,40.8843542476,23.6052121191,79.4131011047,36.8654630911,18.3641714266,40.4819183858,26.2730657404,272.958525791,17.6461700536,79.6644931239,66.8872108209,76.1426288121,120.9466419044
Cd19,40.6031596788,69.8983998149,40.4791364073,624.7087345262,429.6539821834,104.1264864357,39.8511499244,45.1418323939,44.3322180165,42.218789757,39.2648262648,41.3447356202,50.7715255846,126.2628482496,56.5914288128,43.4302606967,61.5767102107,45.2150808935,47.7534559811,79.0273160701,56.3399600716,112.1091708321,49.9286823636,86.1891868232,64.9302520473
Gm11346,18.093204125,69.6540773708,18.6081918972,1501.7625405298,1661.5710414908,122.7934712404,19.5192120201,2421.121410475,1622.6333450028,18.1202447824,16.1225945975,14.842102755,88.652927112,927.724632482,2477.9391327492,294.4564753406,19.9348776681,139.3449474286,28.4995621783,15.5834595319,17.8624060211,455.0914465596,115.7645925433,12.1171407758,12.8141571648
Klrg1,107.4524861201,67.724958416,202.7279466717,51.4116729918,27.726745973,47.8968925881,60.4386140302,82.8883198695,160.0592383951,41.971735048,60.8953530613,43.6950209396,232.1981673539,982.8025651804,109.6537837218,169.7043772338,76.6220842967,48.7102344362,63.2191116815,63.1092827575,123.8130634372,3935.189745363,646.8019450135,55.1768220784,43.0262971655
Ccl5,62.1703842241,66.552982617,108.655165078,33.3227966807,39.2976826691,53.554841611,1739.2813472845,2062.7615247944,13808.7337326079,653.8092401497,15297.8240773305,504.8997619532,195.4039112723,3547.2790589049,1188.9214014796,825.8505725215,3328.5360455928,97.360471318,70.1288940327,121.2164155798,19189.0262643239,12686.6061470278,3533.5162926511,13432.5891262939,5119.678828011
BC021614,47.7893409916,66.038154872,38.1237180148,59.8267948312,40.381208644,64.3612873293,115.6082209662,349.0910881726,537.8875745617,32.2926809008,46.3206249707,38.8459945332,638.047136573,623.8899707992,539.3410426788,802.4825627029,215.1451328186,445.5549950448,753.6991000613,70.6167550384,63.1475952332,65.1664226702,53.2898121102,72.1118661995,52.9538116262
Hc,25.4229618072,65.6325089322,20.9463677951,15.7972874185,27.2622924525,25.4134289054,20.558434035,18.066312726,17.0217078458,16.992758848,18.4476779641,16.303593654,22.2220098716,24.3080133307,22.0147466514,36.6388266269,27.2736540198,23.3392094468,422.3202156841,21.5713283439,20.4528613314,20.3019716979,18.7766865557,24.470783327,20.9119437019
Gzma,29.1229750212,63.5324949959,23.4760904248,41.0235994325,54.4592713269,61.539451033,54.2567703121,105.468923181,132.3977726927,26.0783420546,23.0180514395,25.6810318873,40.6930381263,136.1755708786,117.4374131223,66.9323836035,5109.0736736953,127.1866708223,7068.9173194592,119.8219611282,16768.1695341697,17393.4713173547,14357.7720584082,30.4460871917,30.6919747102
Btla,20.5547375668,63.4667977906,91.439583153,10106.2275949985,11259.7675160324,282.8210766126,420.117777531,1282.4377626923,1529.2682867574,18.7646253257,27.0305156405,18.2904234825,1182.6415560804,3716.2145564319,1483.5266525714,3252.4114450899,2066.0215785077,1799.8285755836,163.9017650022,1156.1342823281,23.7503599146,242.5867659535,23.6016410913,550.4974981209,86.3303542121
Gm15708,26.0277768534,62.6362876685,32.54779307,38.4970825317,19.220057836,21.0847667005,20.3022451555,42.3494791139,43.0758333083,30.0218118734,34.2694645548,26.9799667886,84.359438662,70.6604762235,285.5980932931,35.3573268035,20.6626083511,29.0784703637,93.9580784183,35.706115281,21.9460144374,26.2600466204,21.8668933178,26.5900898448,26.7496641889
Ear1,10.5093353003,62.5866679574,22212.3594817857,11.6597133473,11.1358559059,10.3500034873,9.7967919575,8.6108302832,9.6013041333,11.3551364394,10.2245352967,10.2083811408,16.0658465164,11.440014463,11.0330097536,9.4869728471,15.638484221,10.8978659427,9.1476502177,13.2729989967,9.7666705514,12.9358613682,11.8902837288,530.1236041035,486.2064967882
Il1rl1,7766.6096811286,62.547811066,396.4380852075,43.1719104862,33.7765118266,37.3751789813,85.601109173,39.7280058756,31.8331524493,40.9185670728,44.8830854613,55.0784797735,49.8156533876,74.5894144015,40.1745780102,40.8906252561,64.7417348858,36.9392445553,588.0219787978,31.6714531853,36.3792785032,42.9092014906,49.5630250046,65.9669861298,71.0406406627
Batf3,51.9509140658,61.8062755315,135.6980669402,58.4942000629,52.3233288835,66.9255196016,1180.3648739704,73.4777117057,61.5734424864,149.2869475325,244.2506166841,896.061765211,98.6189568762,51.7550445301,56.6760027903,52.9473601559,1737.5425311343,471.6476158276,55.1647933373,275.532339798,72.5036197034,95.866601292,74.5883108048,567.3317244365,654.8408947898
Gata1,957.5569635864,60.5066685497,1637.7136841513,41.7239343876,39.7592214627,42.8390483863,32.7537801177,49.7595356889,34.3905488912,31.5435961943,33.9027738268,36.0623289309,197.9589397203,47.85611619,99.370417755,42.0593723542,29.4595182748,43.743665032,65.5709063066,28.8226661175,29.1638879241,38.1008295664,38.2066840183,43.8413317462,47.2708195615
Pou2af1,11.2575303391,60.460334556,9.6323693698,2923.7880930822,3013.7572537978,4846.1515585502,35.9904097386,166.7015957761,145.4326096493,9.9890570428,9.8763028665,10.1155448517,65.0757517253,295.2297475508,112.1492463934,1171.3674703065,348.0816245173,66.0512994062,11.5003706072,18.9116169622,11.952966319,76.8769971338,12.1893411174,12.083424859,11.6039113404
Gngt2,154.9816303508,60.3894396011,61.5998179082,48.292443946,49.4247394743,25.5070151916,32.2603631775,56.1676214257,61.9973846002,391.6727383761,407.2973794312,211.1853298696,42.7417589587,35.2907893265,45.1953331873,35.2292743135,36.8867188369,80.9045858493,44.7680793856,1042.9599968003,51.3608466396,28.3341842759,33.8422788514,392.4527126048,210.5688271998
5830411N06Rik,60.5661166732,60.0302228415,42.034891514,57.4227279158,59.6691687445,61.3895835968,45.9008408932,57.5027223978,243.6405619983,43.0290980666,54.187647047,47.1151498971,62.4311429909,88.0621712369,53.9568397872,58.6811076875,55.7133774554,223.1386949099,54.127132767,61.3171965099,74.6747909024,54.933814236,53.6004395131,91.4132174957,81.1499970615
Nrp,125.3852270692,59.5741257103,56.786299463,192.3317084674,193.2512913536,199.0074453199,167.1142494735,233.8877921772,172.6820552406,78.1179265275,53.4926772125,88.5622226931,224.7907851495,92.8435632601,246.3479204437,173.0196923064,297.6265794063,444.0562483905,494.8006427624,85.3692362089,98.6518720513,178.1915666148,184.980088515,76.3555602403,123.3135456767
Cd209a,19.8558519181,58.9358851038,52.1138385764,23.8162562641,26.6962231615,21.3968525899,16.3601449145,18.2184175505,21.8298270284,19.7485446405,17.5215002273,17.3517041138,17.9964335477,18.4173344154,18.5868292091,16.9135846014,22.4789797128,19.0408347306,18.9949952138,726.6746272164,20.6245201813,21.8637546239,18.2311878236,26.6246216883,58.3388511328
A430088P11Rik,39.424524307,58.371786081,23.8253224893,52.0276685934,70.8926111506,27.7864883235,44.0687253427,140.5289750039,176.7484742921,32.5158063502,30.833920155,32.9141781045,41.7476518926,35.5541203152,86.0796904715,66.0233682148,30.7932784176,141.298600734,72.5455599008,23.6868017134,38.2488939086,35.7371694728,44.4668958042,18.2570194188,20.8547076543
Folr4,47.7801777696,56.443238026,35.8962132519,51.4671124275,105.1478931379,38.674442281,82.6204217633,118.0838481139,78.1931497272,41.7080593672,42.8432348809,43.2380231393,2690.3527415968,1807.1437656701,382.1024168165,2040.8182164388,325.1684557794,138.4180670322,953.8331189995,49.2057300842,60.3033084285,63.5990550497,48.0768021434,43.6273554585,40.1207840638
Tmem202,18.3646463726,56.3998171516,28.7464326137,10.5475513317,14.5113910968,14.2298140359,15.2448500908,14.7802640568,15.7697554327,63.6083970543,66.4808964433,122.742278735,15.5420566793,15.3040872767,14.0270472743,12.3055841527,12.9115344086,13.5958288578,13.0412524565,12.990598595,12.5899373061,13.0878182703,14.3087729407,26.588093284,22.5377446258
Trac,46.9516626054,56.301551148,51.0424630019,45.9431227096,48.9379685281,59.2151291796,3087.5152949447,7317.5933904955,7627.4306612037,43.352974365,56.8739126919,47.2279849257,5730.4659218571,4205.1332805865,9046.2985433665,10724.9538455542,3330.1497133391,8812.8046712432,6048.0570326559,88.0591896126,5071.6804662472,155.0980088759,125.5910691841,52.2090503197,50.9325067291
Klrb1c,52.6080769257,56.2244582764,39.0402980382,59.3310664273,52.2229108046,51.1197344542,49.3758599177,54.0123213612,160.187223601,45.8407022473,42.6768994181,43.9130424167,51.5281377011,112.46205164,59.0884748443,106.3743757071,48.0755431535,43.5628400794,44.2328988069,68.3661889065,52.2179046884,6022.3707376266,4087.1473693682,61.1692449291,54.0057820621
Blk,45.7401062092,55.7405713568,36.1839868555,1032.2335369403,913.8526128852,133.0783938331,40.7614866946,50.3026961367,49.4613416982,38.730848683,40.1788470008,33.8977643248,58.8659468613,73.6023809206,49.2399879824,52.749342111,47.4847063164,57.2548466522,40.2221827585,71.7083569641,79.1447511592,80.5163944085,36.5506758138,102.1282761128,75.979664971
Prg3,34.3085296307,54.1662982819,9426.927583703,37.1939144798,27.3188575715,40.9941039078,33.9200724311,36.2129014197,34.9385917177,27.8978970863,33.8197626028,27.5754825903,30.7231714584,27.1158317384,34.6427520636,32.2108086729,35.3869347845,28.514581306,31.6573999655,40.5454178199,39.3868038611,35.6041219807,34.9914153966,111.6926650412,97.4389867747
E230029C05Rik,17.9269985682,53.6760839224,17.894837184,25.4041171963,17.0005630639,19.4127754721,32.1656512456,21.0659486919,17.2937844017,23.3709601951,25.5900547599,29.1877010445,22.5713868971,18.2287719233,17.5519310187,21.228697218,24.4769366889,17.647619648,24.8840616522,293.4914980798,21.2440750579,18.2102877457,14.6333028679,43.1646237797,76.6195566138
Flt3l,404.702760858,53.5889855515,111.2308993309,13.354002032,16.2049801772,14.9003223912,60.0828966477,278.0090525115,317.4872470469,58.9397869234,106.8885441957,43.9117742116,300.157085981,54.0452111258,654.5702233933,242.8939385211,116.0418406683,482.3766529568,1084.4531772253,36.5038091049,256.3509003346,58.2341993586,108.353273486,30.1507969011,36.0553570112
Bach2,218.7506631691,52.744766339,32.7036295004,1264.2279376184,1459.6675597206,18.6218898393,592.6384683897,1776.7731149484,927.4173291993,38.5960607055,19.0076969557,41.2776203382,972.3893600695,603.7779217743,1936.5595997431,186.9868510346,1154.0241334541,1470.4750999653,214.8598239807,75.5283557492,24.403131654,791.031950805,281.7917072254,17.1518694991,24.8646091633
