Probe	"Mix A (0% Jurkat, 0% tumor)"	"Mix B (0% Jurkat, 0% tumor)"	"Mix C (0% Jurkat, 0% tumor)"	"Mix D (0% Jurkat, 0% tumor)"	"Mix E (0% Jurkat, 0% tumor)"	"Mix A (0.5% Jurkat, 0% tumor)"	"Mix B (0.5% Jurkat, 0% tumor)"	"Mix C (0.5% Jurkat, 0% tumor)"	"Mix D (0.5% Jurkat, 0% tumor)"	"Mix E (0.5% Jurkat, 0% tumor)"	"Mix A (0.75% Jurkat, 0% tumor)"	"Mix B (0.75% Jurkat, 0% tumor)"	"Mix C (0.75% Jurkat, 0% tumor)"	"Mix D (0.75% Jurkat, 0% tumor)"	"Mix E (0.75% Jurkat, 0% tumor)"	"Mix A (1% Jurkat, 0% tumor)"	"Mix B (1% Jurkat, 0% tumor)"	"Mix C (1% Jurkat, 0% tumor)"	"Mix D (1% Jurkat, 0% tumor)"	"Mix E (1% Jurkat, 0% tumor)"	"Mix A (2.5% Jurkat, 0% tumor)"	"Mix B (2.5% Jurkat, 0% tumor)"	"Mix C (2.5% Jurkat, 0% tumor)"	"Mix D (2.5% Jurkat, 0% tumor)"	"Mix E (2.5% Jurkat, 0% tumor)"	"Mix A (5% Jurkat, 0% tumor)"	"Mix B (5% Jurkat, 0% tumor)"	"Mix C (5% Jurkat, 0% tumor)"	"Mix D (5% Jurkat, 0% tumor)"	"Mix E (5% Jurkat, 0% tumor)"	"Mix A (7.5% Jurkat, 0% tumor)"	"Mix B (7.5% Jurkat, 0% tumor)"	"Mix C (7.5% Jurkat, 0% tumor)"	"Mix D (7.5% Jurkat, 0% tumor)"	"Mix E (7.5% Jurkat, 0% tumor)"	"Mix A (10% Jurkat, 0% tumor)"	"Mix B (10% Jurkat, 0% tumor)"	"Mix C (10% Jurkat, 0% tumor)"	"Mix D (10% Jurkat, 0% tumor)"	"Mix E (10% Jurkat, 0% tumor)"	"Mix A (0% Jurkat, 30% tumor)"	"Mix B (0% Jurkat, 30% tumor)"	"Mix C (0% Jurkat, 30% tumor)"	"Mix D (0% Jurkat, 30% tumor)"	"Mix E (0% Jurkat, 30% tumor)"	"Mix A (0.5% Jurkat, 30% tumor)"	"Mix B (0.5% Jurkat, 30% tumor)"	"Mix C (0.5% Jurkat, 30% tumor)"	"Mix D (0.5% Jurkat, 30% tumor)"	"Mix E (0.5% Jurkat, 30% tumor)"	"Mix A (0.75% Jurkat, 30% tumor)"	"Mix B (0.75% Jurkat, 30% tumor)"	"Mix C (0.75% Jurkat, 30% tumor)"	"Mix D (0.75% Jurkat, 30% tumor)"	"Mix E (0.75% Jurkat, 30% tumor)"	"Mix A (1% Jurkat, 30% tumor)"	"Mix B (1% Jurkat, 30% tumor)"	"Mix C (1% Jurkat, 30% tumor)"	"Mix D (1% Jurkat, 30% tumor)"	"Mix E (1% Jurkat, 30% tumor)"	"Mix A (2.5% Jurkat, 30% tumor)"	"Mix B (2.5% Jurkat, 30% tumor)"	"Mix C (2.5% Jurkat, 30% tumor)"	"Mix D (2.5% Jurkat, 30% tumor)"	"Mix E (2.5% Jurkat, 30% tumor)"	"Mix A (5% Jurkat, 30% tumor)"	"Mix B (5% Jurkat, 30% tumor)"	"Mix C (5% Jurkat, 30% tumor)"	"Mix D (5% Jurkat, 30% tumor)"	"Mix E (5% Jurkat, 30% tumor)"	"Mix A (7.5% Jurkat, 30% tumor)"	"Mix B (7.5% Jurkat, 30% tumor)"	"Mix C (7.5% Jurkat, 30% tumor)"	"Mix D (7.5% Jurkat, 30% tumor)"	"Mix E (7.5% Jurkat, 30% tumor)"	"Mix A (10% Jurkat, 30% tumor)"	"Mix B (10% Jurkat, 30% tumor)"	"Mix C (10% Jurkat, 30% tumor)"	"Mix D (10% Jurkat, 30% tumor)"	"Mix E (10% Jurkat, 30% tumor)"	"Mix A (0% Jurkat, 60% tumor)"	"Mix B (0% Jurkat, 60% tumor)"	"Mix C (0% Jurkat, 60% tumor)"	"Mix D (0% Jurkat, 60% tumor)"	"Mix E (0% Jurkat, 60% tumor)"	"Mix A (0.5% Jurkat, 60% tumor)"	"Mix B (0.5% Jurkat, 60% tumor)"	"Mix C (0.5% Jurkat, 60% tumor)"	"Mix D (0.5% Jurkat, 60% tumor)"	"Mix E (0.5% Jurkat, 60% tumor)"	"Mix A (0.75% Jurkat, 60% tumor)"	"Mix B (0.75% Jurkat, 60% tumor)"	"Mix C (0.75% Jurkat, 60% tumor)"	"Mix D (0.75% Jurkat, 60% tumor)"	"Mix E (0.75% Jurkat, 60% tumor)"	"Mix A (1% Jurkat, 60% tumor)"	"Mix B (1% Jurkat, 60% tumor)"	"Mix C (1% Jurkat, 60% tumor)"	"Mix D (1% Jurkat, 60% tumor)"	"Mix E (1% Jurkat, 60% tumor)"	"Mix A (2.5% Jurkat, 60% tumor)"	"Mix B (2.5% Jurkat, 60% tumor)"	"Mix C (2.5% Jurkat, 60% tumor)"	"Mix D (2.5% Jurkat, 60% tumor)"	"Mix E (2.5% Jurkat, 60% tumor)"	"Mix A (5% Jurkat, 60% tumor)"	"Mix B (5% Jurkat, 60% tumor)"	"Mix C (5% Jurkat, 60% tumor)"	"Mix D (5% Jurkat, 60% tumor)"	"Mix E (5% Jurkat, 60% tumor)"	"Mix A (7.5% Jurkat, 60% tumor)"	"Mix B (7.5% Jurkat, 60% tumor)"	"Mix C (7.5% Jurkat, 60% tumor)"	"Mix D (7.5% Jurkat, 60% tumor)"	"Mix E (7.5% Jurkat, 60% tumor)"	"Mix A (10% Jurkat, 60% tumor)"	"Mix B (10% Jurkat, 60% tumor)"	"Mix C (10% Jurkat, 60% tumor)"	"Mix D (10% Jurkat, 60% tumor)"	"Mix E (10% Jurkat, 60% tumor)"	"Mix A (0% Jurkat, 90% tumor)"	"Mix B (0% Jurkat, 90% tumor)"	"Mix C (0% Jurkat, 90% tumor)"	"Mix D (0% Jurkat, 90% tumor)"	"Mix E (0% Jurkat, 90% tumor)"	"Mix A (0.5% Jurkat, 90% tumor)"	"Mix B (0.5% Jurkat, 90% tumor)"	"Mix C (0.5% Jurkat, 90% tumor)"	"Mix D (0.5% Jurkat, 90% tumor)"	"Mix E (0.5% Jurkat, 90% tumor)"	"Mix A (0.75% Jurkat, 90% tumor)"	"Mix B (0.75% Jurkat, 90% tumor)"	"Mix C (0.75% Jurkat, 90% tumor)"	"Mix D (0.75% Jurkat, 90% tumor)"	"Mix E (0.75% Jurkat, 90% tumor)"	"Mix A (1% Jurkat, 90% tumor)"	"Mix B (1% Jurkat, 90% tumor)"	"Mix C (1% Jurkat, 90% tumor)"	"Mix D (1% Jurkat, 90% tumor)"	"Mix E (1% Jurkat, 90% tumor)"	"Mix A (2.5% Jurkat, 90% tumor)"	"Mix B (2.5% Jurkat, 90% tumor)"	"Mix C (2.5% Jurkat, 90% tumor)"	"Mix D (2.5% Jurkat, 90% tumor)"	"Mix E (2.5% Jurkat, 90% tumor)"	"Mix A (5% Jurkat, 90% tumor)"	"Mix B (5% Jurkat, 90% tumor)"	"Mix C (5% Jurkat, 90% tumor)"	"Mix D (5% Jurkat, 90% tumor)"	"Mix E (5% Jurkat, 90% tumor)"	"Mix A (7.5% Jurkat, 90% tumor)"	"Mix B (7.5% Jurkat, 90% tumor)"	"Mix C (7.5% Jurkat, 90% tumor)"	"Mix D (7.5% Jurkat, 90% tumor)"	"Mix E (7.5% Jurkat, 90% tumor)"	"Mix A (10% Jurkat, 90% tumor)"	"Mix B (10% Jurkat, 90% tumor)"	"Mix C (10% Jurkat, 90% tumor)"	"Mix D (10% Jurkat, 90% tumor)"	"Mix E (10% Jurkat, 90% tumor)"
1405_i_at	5018.993165	1639.045474	2053.008347	2950.267815	2959.702378	4993.923159	1630.875207	2042.768265	2935.541436	2944.928826	4981.388156	1626.790073	2037.648224	2928.178247	2937.54205	4968.853153	1622.704939	2032.528183	2920.815057	2930.155274	4893.643135	1598.194137	2001.807938	2876.635919	2885.834618	4768.293105	1557.342799	1950.607528	2803.004023	2811.966858	4642.943076	1516.491462	1899.407119	2729.372127	2738.099098	4517.593046	1475.640124	1848.20671	2655.740231	2664.231338	3517.006873	1151.043489	1440.8175	2068.899128	2075.503322	3499.457868	1145.324302	1433.649443	2058.590663	2065.161835	3490.683366	1142.464708	1430.065414	2053.43643	2059.991092	3481.908864	1139.605115	1426.481385	2048.282197	2054.820349	3429.261852	1122.447553	1404.977214	2017.356801	2023.79589	3341.516831	1093.851617	1369.136927	1965.814474	1972.088458	3253.77181	1065.25568	1333.296641	1914.272146	1920.381026	3166.026789	1036.659744	1297.456354	1862.729819	1868.673594	2015.02058	663.0415041	828.6266532	1187.530441	1191.304266	2004.992578	659.7733971	824.5306205	1181.639889	1185.394845	1999.978577	658.1393436	822.4826041	1178.694613	1182.440134	1994.964576	656.5052901	820.4345877	1175.749337	1179.485424	1964.880568	646.7009691	808.1464895	1158.077682	1161.757162	1914.740557	630.3604341	787.6663258	1128.624924	1132.210058	1864.600545	614.0198991	767.186162	1099.172165	1102.662954	1814.460533	597.6793641	746.7059983	1069.719407	1073.11585	513.0342881	175.0395191	216.4358064	306.1617532	307.1052095	510.5272876	174.2224923	215.4117982	304.6891153	305.6278543	509.2737873	173.813979	214.8997941	303.9527963	304.8891767	508.020287	173.4054656	214.38779	303.2164774	304.1504991	500.4992852	170.9543853	211.3157654	298.7985636	299.7184335	487.9642822	166.8692516	206.1957245	291.435374	292.3316574	475.4292792	162.7841178	201.0756836	284.0721844	284.9448814	462.8942762	158.6989841	195.9556426	276.7089948	277.5581054
1552390_a_at	10.06434784	9.30820359	9.392500505	9.599578958	9.592850765	12.25354579	11.50118227	11.5850577	11.79110076	11.7844062	13.34814477	12.5976716	12.68133629	12.88686166	12.88018392	14.44274374	13.69416094	13.77761489	13.98262255	13.97596164	21.0103376	20.27309696	20.35528646	20.55718795	20.55062796	31.95632737	31.23799034	31.31807241	31.51479694	31.50840515	42.90231714	42.20288371	42.28085836	42.47240593	42.46618235	53.8483069	53.16777708	53.24364431	53.43001492	53.42395954	345.6652385	345.1359375	345.1949453	345.3399002	345.3351905	347.197677	346.6710226	346.7297354	346.8739655	346.8692793	347.9638963	347.4385651	347.4971304	347.6409981	347.6363237	348.7301156	348.2061076	348.2645254	348.4080308	348.4033681	353.3274313	352.8113628	352.8688955	353.0102265	353.0056345	360.9896241	360.4867882	360.5428457	360.6805528	360.6760786	368.651817	368.1622136	368.2167958	368.3508791	368.3465226	376.3140098	375.8376389	375.890746	376.0212054	376.0169666	681.2661291	680.9636714	680.9973901	681.0802215	681.0775302	682.1418083	681.8408628	681.874413	681.9568302	681.9541524	682.5796478	682.2794586	682.3129245	682.3951346	682.3924635	683.0174874	682.7180543	682.7514359	682.833439	682.8307746	685.644525	685.3496287	685.3825045	685.4632651	685.4606411	690.0229209	689.7355861	689.7676189	689.8463087	689.843752	694.4013168	694.1215434	694.1527333	694.2293523	694.2268629	698.7797127	698.5075008	698.5378477	698.6123959	698.6099738	1016.86702	1016.791405	1016.799835	1016.820543	1016.81987	1017.085939	1017.010703	1017.019091	1017.039695	1017.039026	1017.195399	1017.120352	1017.128719	1017.149271	1017.148603	1017.304859	1017.230001	1017.238346	1017.258847	1017.258181	1017.961619	1017.887895	1017.896114	1017.916304	1017.915648	1019.056218	1018.984384	1018.992392	1019.012065	1019.011425	1020.150817	1020.080873	1020.088671	1020.107826	1020.107203	1021.245416	1021.177363	1021.184949	1021.203586	1021.202981
1552623_at	657.2050327	1065.154758	513.1445211	788.2511739	253.2895931	653.9553213	1059.865297	510.6151122	784.3462318	252.0594589	652.3304656	1057.220567	509.3504078	782.3937607	251.4443918	650.7056099	1054.575837	508.0857033	780.4412896	250.8293247	640.9564756	1038.707457	500.4974767	768.7264632	247.1389219	624.7079184	1012.260157	487.8504323	749.2017525	240.9882508	608.4593612	985.8128567	475.2033879	729.6770418	234.8375796	592.210804	959.3655564	462.5563436	710.1523311	228.6869084	520.9513337	806.516141	420.1089755	612.6836325	238.2105259	518.6765357	802.813519	418.3383893	609.950173	237.349432	517.5391366	800.962208	417.4530962	608.5834432	236.918885	516.4017376	799.1108969	416.5678031	607.2167135	236.488338	509.5773436	788.0030308	411.2560444	599.016335	233.9050561	498.2033536	769.4899206	402.4031134	585.3490375	229.5995863	486.8293636	750.9768104	393.5501823	571.68174	225.2941164	475.4553736	732.4637002	384.6972512	558.0144425	220.9886466	384.6976346	547.8775245	327.0734299	437.116091	223.1314587	383.39775	545.7617405	326.0616664	435.5541142	222.639405	382.7478077	544.7038485	325.5557846	434.7731257	222.3933782	382.0978654	543.6459564	325.0499028	433.9921373	222.1473513	378.1982117	537.2986044	322.0146122	429.3062068	220.6711903	371.6987888	526.7196843	316.9557944	421.4963225	218.2109218	365.199366	516.1407641	311.8969766	413.6864382	215.7506533	358.6999431	505.561844	306.8381589	405.8765539	213.2903848	248.4439355	289.238908	234.0378843	261.5485496	208.0523915	248.1189643	288.709962	233.7849434	261.1580554	207.9293781	247.9564788	288.445489	233.658473	260.9628083	207.8678714	247.7939932	288.1810159	233.5320025	260.7675612	207.8063647	246.8190798	286.5941779	232.7731799	259.5960785	207.4373244	245.194224	283.9494479	231.5084754	257.6436075	206.8222573	243.5693683	281.3047179	230.243771	255.6911364	206.2071902	241.9445126	278.6599878	228.9790666	253.7386653	205.592123
1552774_a_at	92.24580945	267.2483842	109.4058039	167.1216139	21.59025395	91.82712372	265.9546856	108.9013182	166.3285492	21.524846	91.61778086	265.3078363	108.6490753	165.9320168	21.49214202	91.40843799	264.660987	108.3968325	165.5354844	21.45943804	90.1523808	260.7798912	106.8833753	163.1562902	21.26321419	88.05895215	254.3113982	104.3609468	159.1909664	20.93617442	85.9655235	247.8429052	101.8385183	155.2256426	20.60913466	83.87209485	241.3744121	99.31608981	151.2603189	20.28209489	106.770037	229.2718393	118.7820331	159.1831001	57.31114815	106.476957	228.3662503	118.4288931	158.6279548	57.26536259	106.330417	227.9134558	118.2523231	158.3503822	57.2424698	106.183877	227.4606613	118.0757531	158.0728095	57.21957702	105.3046369	224.7438942	117.0163331	156.4073735	57.08222032	103.8392369	220.2159491	115.2506332	153.6316469	56.85329248	102.3738368	215.688004	113.4849332	150.8559202	56.62436465	100.9084368	211.1600589	111.7192333	148.0801936	56.39543681	121.2942646	191.2952945	128.1582623	151.2445864	93.03204236	121.1267903	190.777815	127.956468	150.9273604	93.00587918	121.0430531	190.5190753	127.8555709	150.7687475	92.99279759	120.959316	190.2603356	127.7546738	150.6101345	92.97971599	120.4568931	188.7078973	127.1492909	149.6584568	92.90122645	119.6195216	186.1205	126.1403195	148.0723273	92.77041055	118.7821502	183.5331028	125.1313481	146.4861978	92.63959464	117.9447787	180.9457056	124.1223767	144.9000683	92.50877873	135.8184921	153.3187496	137.5344916	143.3060726	128.7529366	135.7766235	153.1893797	137.484043	143.2267661	128.7463958	135.7556893	153.1246948	137.4588187	143.1871128	128.7431254	135.734755	153.0600099	137.4335944	143.1474596	128.739855	135.6091492	152.6719003	137.2822487	142.9095402	128.7202326	135.3998064	152.025051	137.0300058	142.5130078	128.6875286	135.1904635	151.3782017	136.777763	142.1164754	128.6548246	134.9811207	150.7313524	136.5255201	141.7199431	128.6221207
1553179_at	6.359196215	8.919274077	5.814066816	7.266392046	4.290890723	7.479035615	10.02631309	6.936631864	8.381695467	5.421071651	8.038955316	10.57983259	7.497914387	8.939347178	5.986162115	8.598875016	11.1333521	8.059196911	9.496998888	6.551252579	11.95839322	14.45446913	11.42689205	12.84290915	9.941795363	17.55759022	19.98966419	17.03971729	18.41942626	15.5927	23.15678722	25.52485925	22.65254253	23.99594337	21.24360464	28.75598423	31.0600543	28.26536777	29.57246047	26.89450928	7.942258841	9.734313344	7.560668261	8.577295922	6.494444996	8.726146421	10.50924065	8.346463795	9.358008317	7.285571646	9.118090211	10.89670431	8.739361561	9.748364515	7.681134971	9.510034001	11.28416796	9.132259328	10.13872071	8.076698295	11.86169674	13.60894988	11.48964593	12.4808579	10.45007824	15.78113464	17.48358642	15.41862359	16.38441987	14.40571149	19.70057255	21.35822296	19.34760126	20.28798185	18.36134474	23.62001045	25.2328595	23.27657893	24.19154382	22.31697799	9.525321466	10.54935261	9.307269707	9.888199799	8.697999269	9.973257226	10.99216822	9.756295726	10.33432117	9.150071641	10.19722511	11.21357602	9.980808735	10.55738185	9.376107826	10.42119299	11.43498382	10.20532174	10.78044254	9.602144012	11.76500027	12.76343063	11.5523998	12.11880664	10.95836113	14.00467907	14.97750866	13.7975299	14.34941348	13.21872298	16.24435787	17.19158668	16.04265999	16.58002033	15.47908484	18.48403667	19.4056647	18.28779009	18.81062717	17.73944669	11.10838409	11.36439188	11.05387115	11.19910367	10.90155354	11.22036803	11.47509578	11.16612766	11.31063402	11.01457164	11.27636	11.53044773	11.22225591	11.36639919	11.07108068	11.33235197	11.58579968	11.27838416	11.42216436	11.12758973	11.66830379	11.91791138	11.61515368	11.75675539	11.46664401	12.22822349	12.47143089	12.1764362	12.3144071	12.03173447	12.78814319	13.02495039	12.73771872	12.87205881	12.59682493	13.34806289	13.5784699	13.29900125	13.42971052	13.1619154
1553196_a_at	241.9050281	715.8920546	290.3706585	445.1728817	53.1217641	240.748646	712.3657373	288.9719482	443.0001603	52.90929828	240.1704549	710.6025787	288.2725931	441.9137996	52.80306537	239.5922638	708.83942	287.5732379	440.8274389	52.69683246	236.1231174	698.2604682	283.377107	434.3092747	52.05943501	230.3412067	680.6288819	276.3835556	423.4456677	50.99710591	224.559296	662.9972955	269.3900041	412.5820606	49.93477681	218.7773853	645.3657091	262.3964527	401.7184536	48.87244771	171.4153426	503.2062612	205.3412839	313.7028402	39.26705783	170.6058751	500.7378391	204.3621867	312.1819352	39.11833176	170.2011414	499.503628	203.8726381	311.4214827	39.04396872	169.7964076	498.269417	203.3830895	310.6610302	38.96960569	167.3680052	490.8641507	200.4457979	306.0983152	38.52342747	163.3206677	478.5220403	195.5503119	298.4937903	37.7797971	159.2733302	466.1799298	190.6548259	290.8892654	37.03616673	155.2259927	453.8378194	185.7593398	283.2847405	36.29253636	100.9256572	290.5204678	120.3119093	182.2327986	25.41235156	100.4631043	289.1099408	119.7524252	181.3637101	25.32736524	100.2318279	288.4046774	119.4726831	180.9291658	25.28487207	100.0005515	287.6994139	119.1929411	180.4946215	25.24237891	98.61289289	283.4678332	117.5144887	177.8873558	24.98741993	96.30012861	276.4151987	114.7170682	173.541913	24.56248829	93.98736433	269.3625641	111.9196476	169.1964702	24.13755665	91.67460005	262.3099296	109.122227	164.8510274	23.71262501	30.4359717	77.83467434	35.28253473	50.76275706	11.5576453	30.32033348	77.48204262	35.14266371	50.54548492	11.53639871	30.26251438	77.30572675	35.07272819	50.43684885	11.52577542	30.20469527	77.12941089	35.00279268	50.32821278	11.51515213	29.85778063	76.07151571	34.58317959	49.67639635	11.45141239	29.27958956	74.30835707	33.88382444	48.59003565	11.34517948	28.70139849	72.54519843	33.1844693	47.50367495	11.23894657	28.12320742	70.7820398	32.48511415	46.41731424	11.13271366
1553830_s_at	1981.0948	590.3555482	664.3581757	1107.116652	1008.571819	1971.552751	587.7671948	661.3998092	1101.944493	1003.892384	1966.781726	586.4730181	659.9206259	1099.358414	1001.552667	1962.010701	585.1788414	658.4414427	1096.772334	999.2129492	1933.384552	577.4137813	649.5663431	1081.255858	985.174645	1885.674304	564.4720144	634.7745105	1055.395063	961.7774713	1837.964056	551.5302475	619.9826779	1029.534269	938.3802976	1790.253808	538.5884806	605.1908454	1003.673474	914.983124	2350.2555	1376.738024	1428.539863	1738.470796	1669.489413	2343.576066	1374.926176	1426.469006	1734.850285	1666.213809	2340.236348	1374.020253	1425.433578	1733.04003	1664.576007	2336.896631	1373.114329	1424.39815	1731.229774	1662.938204	2316.858327	1367.678787	1418.18558	1720.36824	1653.111392	2283.461153	1358.61955	1407.831297	1702.265684	1636.73337	2250.063979	1349.560313	1397.477015	1684.163128	1620.355348	2216.666805	1340.501076	1387.122732	1666.060572	1603.977327	2719.4162	2163.120499	2192.72155	2369.824941	2330.407008	2715.59938	2162.085158	2191.538204	2367.756077	2328.535234	2713.69097	2161.567487	2190.94653	2366.721646	2327.599347	2711.782561	2161.049817	2190.354857	2365.687214	2326.66346	2700.332101	2157.943793	2186.804817	2359.480623	2321.048138	2681.248002	2152.767086	2180.888084	2349.136305	2311.689269	2662.163902	2147.590379	2174.971351	2338.791987	2302.330399	2643.079803	2142.413672	2169.054618	2328.44767	2292.97153	3088.5769	2949.502975	2956.903238	3001.179085	2991.324602	3087.622695	2949.24414	2956.607401	3000.661869	2990.856658	3087.145593	2949.114722	2956.459483	3000.403261	2990.622687	3086.66849	2948.985304	2956.311564	3000.144654	2990.388715	3083.805875	2948.208798	2955.424054	2998.593006	2988.984885	3079.03485	2946.914622	2953.944871	2996.006926	2986.645167	3074.263826	2945.620445	2952.465688	2993.420847	2984.30545	3069.492801	2944.326268	2950.986505	2990.834767	2981.965732
1554161_at	144.8654534	363.6002331	162.36209	237.5184949	51.41796922	144.3585774	361.9996832	161.7677309	236.5483537	51.37833065	144.1051394	361.1994083	161.4705513	236.0632831	51.35851136	143.8517014	360.3991333	161.1733717	235.5782125	51.33869207	142.3310734	355.5974837	159.3902942	232.6677889	51.21977636	139.7966934	347.5947342	156.4184983	227.8170829	51.02158351	137.2623135	339.5919848	153.4467024	222.9663769	50.82339065	134.7279335	331.5892353	150.4749065	218.1156709	50.6251978	134.0956033	287.2099492	146.343249	198.9527324	68.68236441	133.7407901	286.0895642	145.9271976	198.2736336	68.65461741	133.5633835	285.5293718	145.7191718	197.9340842	68.64074391	133.3859769	284.9691793	145.5111461	197.5945347	68.62687041	132.3215373	281.6080245	144.2629919	195.5572382	68.54362941	130.5474714	276.0060999	142.1827348	192.161744	68.40489441	128.7734054	270.4041753	140.1024776	188.7662498	68.26615942	126.9993394	264.8022507	138.0222205	185.3707556	68.12742442	123.3257533	210.8196652	130.3244079	160.3869699	85.94675961	123.1230029	210.1794452	130.0866643	159.9989134	85.93090418	123.0216277	209.8593352	129.9677924	159.8048852	85.92297646	122.9202525	209.5392253	129.8489206	159.6108569	85.91504875	122.3120013	207.6185654	129.1356896	158.4466875	85.86748246	121.2982493	204.4174656	127.9469712	156.5064051	85.78820532	120.2844973	201.2163658	126.7582529	154.5661227	85.70892818	119.2707453	198.015266	125.5695345	152.6258403	85.62965104	112.5559032	134.4293812	114.3055669	121.8212074	103.2111548	112.5052156	134.2693262	114.246131	121.7241933	103.2071909	112.4798718	134.1892987	114.216413	121.6756862	103.205209	112.454528	134.1092712	114.186695	121.6271791	103.2032271	112.3024652	133.6291062	114.0083873	121.3361368	103.1913355	112.0490272	132.8288313	113.7112077	120.8510662	103.1715162	111.7955892	132.0285564	113.4140281	120.3659956	103.1516969	111.5421512	131.2282814	113.1168485	119.880925	103.1318777
1554300_a_at	16.03615866	19.90594132	15.8357616	17.55483654	13.72019002	19.22540066	23.07583442	19.02600559	20.73648515	16.92101187	20.82002166	24.66078096	20.62112759	22.32730946	18.5214228	22.41464267	26.24572751	22.21624958	23.91813377	20.12183372	31.98236869	35.75540679	31.78698156	33.46307962	29.72429927	47.92857872	51.60487225	47.73820151	49.37132271	45.72840852	63.87478875	67.45433772	63.68942147	65.27956579	61.73251776	79.82099878	83.30380318	79.64064143	81.18780888	77.73662701	22.38384354	25.09269141	22.2435656	23.44691806	20.7626655	24.61631295	27.31161658	24.4767364	25.67407209	23.00324079	25.73254765	28.42107916	25.59332179	26.78764911	24.12352844	26.84878235	29.53054174	26.70990719	27.90122612	25.24381609	33.54619056	36.18731724	33.40941957	34.58268822	31.96554197	44.70853759	47.28194306	44.57527354	45.71845838	43.16841845	55.87088461	58.37656889	55.74112751	56.85422854	54.37129492	67.03323163	69.47119471	66.90698149	67.9899987	65.57417139	28.73152843	30.2794415	28.65136961	29.33899958	27.80514098	30.00722523	31.54739873	29.92746721	30.61165903	29.08546972	30.64507363	32.18137735	30.565516	31.24798875	29.72563409	31.28292204	32.81535597	31.2035648	31.88431848	30.36579846	35.11001244	36.61922768	35.03185759	35.70229682	34.20678468	41.48849646	42.95901387	41.41234557	42.06559405	40.60842838	47.86698047	49.29880006	47.79283356	48.42889129	47.01007207	54.24546448	55.63858624	54.17332154	54.79218852	53.41171577	35.07921332	35.46619159	35.05917361	35.23108111	34.84761646	35.39813752	35.78318089	35.37819801	35.54924597	35.16769864	35.55759962	35.94167555	35.53771021	35.7083284	35.32773973	35.71706172	36.1001702	35.69722241	35.86741083	35.48778083	36.67383432	37.05113813	36.65429561	36.82190542	36.44802738	38.26845533	38.63608468	38.2494176	38.41272972	38.0484383	39.86307633	40.22103122	39.8445396	40.00355403	39.64884923	41.45769733	41.80597777	41.4396616	41.59437834	41.24926015
1554679_a_at	506.5947566	655.9890551	1635.701868	833.881269	1894.642773	529.449999	678.097326	1652.911575	855.1000789	1910.557775	540.8776202	689.1514614	1661.516428	865.7094838	1918.515277	552.3052414	700.2055969	1670.121281	876.3188888	1926.472778	620.8709687	766.5304097	1721.750402	939.9753183	1974.217785	735.1471808	877.0717643	1807.798936	1046.069368	2053.792796	849.4233928	987.6131189	1893.847471	1152.163417	2133.367808	963.6996049	1098.154474	1979.896005	1258.257466	2212.94282	4096.311473	4200.887482	4886.686451	4325.412032	5067.945085	4112.310143	4216.363272	4898.733246	4340.265199	5079.085586	4120.309478	4224.101167	4904.756643	4347.691782	5084.655837	4128.308813	4231.839061	4910.780041	4355.118366	5090.226088	4176.304822	4278.26643	4946.920425	4399.677866	5123.647593	4256.29817	4355.645379	5007.154399	4473.943701	5179.350101	4336.291519	4433.024327	5067.388373	4548.209535	5235.052609	4416.284867	4510.403275	5127.622347	4622.47537	5290.755118	7686.02819	7745.785909	8137.671034	7816.942795	8241.247396	7695.170287	7754.629218	8144.554917	7825.430319	8247.613397	7699.741335	7759.050872	8147.996858	7829.674081	8250.796398	7704.312384	7763.472526	8151.4388	7833.917843	8253.979398	7731.738675	7790.002451	8172.090448	7859.380415	8273.077401	7777.44916	7834.218993	8206.509862	7901.818034	8304.907406	7823.159644	7878.435535	8240.929275	7944.255654	8336.73741	7868.870129	7922.652077	8275.348689	7986.693274	8368.567415	11275.74491	11290.68434	11388.65562	11308.47356	11414.54971	11278.03043	11292.89516	11390.37659	11310.59544	11416.14121	11279.17319	11294.00058	11391.23707	11311.65638	11416.93696	11280.31595	11295.10599	11392.09756	11312.71732	11417.73271	11287.17253	11301.73847	11397.26047	11319.08296	11422.50721	11298.60015	11312.79261	11405.86532	11329.69237	11430.46471	11310.02777	11323.84674	11414.47018	11340.30177	11438.42221	11321.45539	11334.90088	11423.07503	11350.91118	11446.37971
