Gene symbol	Mast Cells	Neutrophil Cells	Eosinophil Cells	B Cells Memory	B Cells Naive	Plasma Cells	T Cells CD8 Actived	T Cells CD8 Naive	T Cells CD8 Memory	M0 Macrophage	M1 Macrophage	M2 Macrophage	Treg Cells	T Cells CD4 Memory	T Cells CD4 Naive	T Cells CD4 Follicular	Th1 Cells	Th17 Cells	Th2 Cells	Monocyte	GammaDelta T Cells	NK Resting	NK.Actived	DC Actived	DC Immature
Ngp	39.23799527	18916.35321	5776.03764	65.81768905	65.30064313	70.87438601	38.67198408	53.64529524	57.47395529	45.92918522	36.59536548	41.06204192	56.50844827	44.3978941	46.49242116	39.04533817	38.75167498	47.72505267	60.89853217	207.9926287	54.43937953	83.18212596	46.16378394	1812.850238	3399.456007
Camp	41.10477734	16257.71644	320.9129015	61.615683	55.47124503	52.85007973	40.90359874	48.87136898	51.32702933	48.05779909	82.88879917	57.48319658	68.80194854	47.5146667	50.18185818	44.95094288	61.54756736	56.86009669	61.68525781	179.5970031	47.96012054	88.31975084	62.77502299	650.5777573	884.4545076
Mmp8	69.27561756	12196.48626	572.6449994	39.40675293	30.70633714	43.63392475	18.76877761	27.02837883	23.8245686	569.8880387	90.96217459	359.047252	23.69417527	20.17072196	22.51795432	25.44667402	29.53659819	25.58683259	29.87966212	565.2052255	26.44979208	27.27015293	24.25089937	2041.145536	4568.498127
Cd177	16.23045542	11646.90776	86.68087875	12.65606454	10.91588263	12.47852905	15.17759087	11.88278331	14.29025696	17.2979475	18.23566611	16.77395146	16.51890124	15.85779769	19.81814485	13.54382836	16.45529168	15.43535033	14.90822802	817.0575818	15.76801497	15.09715456	13.52214629	38.14091585	96.70047409
Mmp9	34.27331082	10154.76381	435.8018456	51.43589575	48.7855441	47.88114673	30.7982063	33.86073405	35.06982309	47.70577629	50.15032727	45.26174532	44.42752815	76.09315294	47.99381357	44.35418082	27.53921591	51.72757166	39.67307972	29.96172705	30.59892269	44.5885096	38.08909867	261.1496272	451.65973
Fpr2	30.5686971	10047.49898	171.6638273	38.44711503	39.06144565	46.67533127	46.2295753	54.26553204	53.61848825	381.7570865	8546.688137	132.5987349	30.17163766	28.66155684	30.3539106	30.86052417	25.44912097	47.82488409	31.81803943	2170.36817	35.81211696	38.25615569	26.12390234	5629.917841	3522.29949
Ifitm6	28.66626698	9701.388757	480.5093648	34.02727984	26.36786833	33.60071694	23.40075336	26.98219467	28.15848134	91.3607525	213.8904666	41.26772857	27.28726226	24.53585262	22.52928361	21.31090127	24.50307691	33.98351931	64.44685531	7605.013392	26.019306	29.77158046	29.74365794	392.4816574	1050.431797
Chi3l3	23.00250915	9514.745683	1180.372911	9.803574037	11.0648874	10.19489572	9.234552675	10.70493962	12.66173458	30.06977524	13.23318944	580.3073428	14.4746596	15.13811437	11.1630534	10.93844798	11.56947493	12.51554577	67.7718496	8353.676421	10.91451784	17.5484279	10.59802739	6416.368363	7930.961804
1810033B17Rik	34.8851841	6147.609631	205.2120736	38.11019172	50.11635017	55.8723083	40.17370961	44.04201031	41.34832827	70.95499339	80.5405199	39.76607985	38.30934708	37.20843229	32.76048248	27.29804045	46.3117398	40.79123896	37.25435918	4014.768741	46.59460144	60.56315576	47.12454823	1399.72055	1955.279982
Itgb2l	69.70812032	5640.211887	119.136671	58.76382861	70.7389735	67.38987326	69.64059757	65.03461029	52.21539109	50.39229032	74.50747583	59.46123673	52.3089852	92.58118438	54.05859917	52.05020359	65.61007968	54.80738921	51.10574465	86.74679418	51.85073237	57.3960718	49.27929304	121.2100302	143.4410813
Trem3	38.70568464	5347.661743	212.3665622	66.8500236	65.52940821	56.46959879	33.85337259	44.56783892	44.72921722	43.1169131	106.5283224	39.00509979	39.5681464	52.07627107	41.7451971	40.53387079	32.55614388	33.72065661	37.91679487	1834.926036	64.04020284	47.04006221	54.89161904	207.4512563	131.1899174
Nfe2	1117.106787	4863.752173	3243.658357	38.99046291	24.2994071	27.46680313	17.49233945	18.53324069	19.31473152	22.07182065	18.640828	37.16096543	27.21847433	30.13308995	22.46448522	36.35067251	24.89645836	23.59292254	23.85338906	2075.639719	20.1557381	95.22835586	30.82734355	80.23106979	432.575872
Csf3r	65.7451181	4749.038869	210.728833	81.11634764	79.09996012	88.19101219	50.5235849	64.14770548	59.43596111	504.924918	889.8911007	890.570195	63.81368588	77.53864619	67.69340649	64.51279785	74.65083248	64.03624178	55.17314625	1562.940694	72.25959683	60.48102117	42.81841718	564.0015579	471.1346108
Fpr1	25.914103	4740.218494	152.7182222	34.44198886	24.77856159	57.46419482	23.54207322	32.11690836	32.24473761	102.7648424	3854.390187	36.57530826	28.39269914	46.25903566	31.06872226	27.14521724	27.09246286	26.29888323	27.56251413	161.2279545	34.45371716	30.36506626	22.35374214	2026.429053	1168.03912
Pram1	75.71998631	4583.118369	127.8344906	223.24237	138.3107642	205.2159305	55.21374439	81.66697057	67.46847094	77.28668851	80.4532271	59.78019048	61.89773178	124.6262733	86.32396584	66.1808618	74.92506125	63.56668845	55.78923494	895.5887824	62.42486126	100.7579202	77.1418048	118.1339749	278.4181881
Clec4d	107.2870437	4548.066223	1933.790253	36.3055982	31.5525573	38.38593041	22.85670476	25.31466266	27.23787009	6536.012798	4872.562309	3721.678542	27.60401616	24.57840292	28.35503612	24.25912809	26.16787558	49.06729336	30.53780774	312.1887385	26.75008303	27.42857777	35.78117965	4440.500703	3910.657231
Sell	30.24327899	4200.902323	911.9967872	1458.542723	3370.754862	113.193021	727.7657245	4363.191505	4631.336423	25.41441256	780.4445756	28.78347268	1425.622593	644.3596619	4251.580389	424.7087806	248.4628092	40.30147794	34.62063716	985.6105943	29.8407725	3222.942363	1182.014296	309.0126516	186.9921174
Cd300lb	3411.126935	4157.010666	4422.644158	30.69175046	20.79346271	22.17625011	14.15077061	17.85702985	16.59207764	3181.539388	646.500908	5987.54966	18.93824087	24.79851518	18.98287492	18.52521988	19.02037128	15.97099397	18.93258579	3409.644149	62.51585909	25.39256432	34.72546497	107.6574485	1239.269569
Cxcr2	51.08063337	3964.65249	338.51076	160.3986192	75.28936212	140.3401942	43.02994083	55.97166882	51.63277176	50.9886162	43.15582952	58.84911004	65.51214469	80.93164331	68.99098226	69.00874198	132.2689106	95.04718977	84.15945638	81.43529489	95.71031209	117.8314534	97.97125485	91.80083477	113.1474115
Hck	54.61201918	3913.863935	2538.551427	905.6887011	1071.088865	39.39746261	16.4894771	36.56731373	49.69356937	1912.584302	4046.723368	998.1445977	32.13137951	82.33515916	24.52643501	22.29528037	32.29457653	28.54272619	25.48474152	6533.549694	30.82240802	85.21315658	31.69446527	4066.809585	1867.780637
Slfn1	16.19695376	3815.977289	15.56187191	15.50509996	15.65516505	13.28837767	40.46934977	294.8849375	466.3337938	22.40506132	614.5058016	14.97619023	386.3405405	826.6647109	613.3774679	225.0489251	124.3853667	1478.652863	726.8926563	848.7800823	22.08334993	14.50782606	14.57692667	1753.606789	287.4390219
Hk3	38.0741592	3491.917244	692.6564455	78.82826166	58.10795409	66.44145449	32.77136157	56.7291471	64.84636237	1024.548766	3749.742229	1041.404094	39.79188997	63.85754268	52.26342051	39.99125799	32.88336569	36.39610259	37.18901216	555.4303385	46.81115729	134.697373	86.2354285	1598.636806	555.5765069
Ltb	103.9418157	3266.997145	2065.869281	2850.893039	3250.956714	53.08903761	1486.155089	9130.651966	7694.762571	79.97662939	171.0925949	69.38658455	7072.762427	5781.137193	9094.086591	7354.916059	212.936374	8462.520029	1596.847375	229.0767215	2039.59452	1241.517275	463.5311566	128.2815577	331.2111259
Adpgk	96.04606275	3093.97594	249.8001002	107.9984865	103.5688822	131.6812803	135.5236168	156.7298931	211.8692346	74.28213957	59.16390302	84.44842501	233.1052203	140.5704832	175.4734161	99.88485419	251.0393575	129.810264	131.0183779	127.7128846	65.38686746	74.82878329	110.5344979	76.99185387	136.7525418
Slfn4	21.0140157	2987.32373	18.77342582	28.15735676	29.85623933	28.53085914	22.2933674	20.80601543	22.78514459	41.98099625	4949.486129	30.51013319	29.32361465	21.74630886	26.98782232	29.74240819	18.7037448	25.42610438	23.41997058	714.7832593	25.87170486	20.81685509	21.60391883	3067.176525	94.35618381
Pilra	181.5077248	2969.846806	285.0127056	20.62369521	23.54389647	25.7471851	19.02547947	35.0144909	41.88810469	102.0398293	799.7804112	59.49817445	27.01010109	21.03115686	25.00186939	23.20193016	25.64995841	26.97184459	23.56804173	1093.590095	27.43357568	29.39510071	22.67769403	1778.068989	2080.936065
Pirb	928.3453493	2942.477427	1631.007727	405.1441946	424.2396245	50.53452953	49.45211697	45.75009409	45.63419403	1658.061426	2177.090937	961.9187549	28.49829365	119.7291578	42.37727029	38.04849881	38.07995665	31.56495481	28.92732419	3072.018347	31.74873101	40.78579938	39.4524491	1727.340861	1422.848613
Itgam	18.30319392	2898.071798	1151.984024	23.23897823	25.28435344	23.88371843	17.7231378	15.6635077	17.01472596	1580.973407	1691.511797	1550.028336	20.1506456	21.63344558	23.4842665	20.31181307	19.9940755	24.71063461	17.04223429	1075.628563	23.89426844	232.9475727	58.26257957	986.2631424	1394.783244
Padi4	19.90569176	2745.44155	2177.20482	20.85738118	21.21345694	36.53135064	20.23972161	22.76840295	21.84871789	25.53245196	20.66178942	22.16379892	23.28642676	20.98371471	27.15427855	185.639101	18.70070183	19.77977045	24.56702644	116.5910413	21.3501967	44.12953735	32.33455576	135.390367	230.7093224
Igsf6	21.93640167	2575.08384	869.401478	24.50394611	26.59141517	24.18183177	17.54858445	27.51795839	23.65994968	1674.93378	1665.478943	1078.528133	19.41769899	41.46490346	20.36449268	17.24876232	23.94771165	24.28016986	17.89167127	4112.874718	16.74758852	29.75720579	21.79895622	1423.313631	1379.787404
Alox5	4358.170658	2567.405796	2195.907806	87.43554784	75.78473206	75.14211076	65.700027	86.55518935	70.08278326	78.01602773	84.1855556	73.01027496	72.79027464	103.530751	74.27267836	69.68131893	64.9522199	66.17411036	218.3484805	346.6441749	124.5183726	119.4026621	103.650932	255.7822488	396.1242612
Rgs18	3099.478986	2456.573852	1666.121516	38.05439655	180.9369383	11.29862097	12.37992962	12.32989444	12.1584039	656.4709878	23.89141474	315.0606482	12.29592725	11.16103378	11.46726606	11.93004296	11.06991985	10.96096074	16.58504166	761.4004776	11.24815505	65.51391361	84.56981263	36.48795624	190.9831419
Il1b	251.7810125	2374.403211	866.386069	51.65065203	49.98299521	65.69260981	53.21236493	66.70714924	53.74771449	89.04016816	2652.311895	93.36778484	49.44668651	67.95624158	45.46645312	45.71052707	53.69721308	140.3581114	45.82003295	628.7582568	44.83271124	105.2395948	62.57413896	7568.595638	667.179788
Fgr	47.47654504	2292.172355	550.3666895	215.942948	186.706094	111.1082142	66.53549567	65.38879675	89.12713121	133.2859849	197.4510973	190.3908449	72.95517924	88.89010163	53.73123522	63.08639211	88.94352163	51.90890574	52.86336897	2024.884202	367.4295226	184.3618216	133.487324	428.1023312	604.8178536
Fcgr4	37.82897776	2160.027628	291.5273256	34.16649717	30.96434238	32.21280681	29.3435891	47.68517452	64.83211278	1061.289673	5424.976532	866.1097827	29.32765151	30.78962361	27.36480313	27.2467348	30.71769331	28.23474915	27.14175259	759.2999457	37.22473523	31.48492731	28.2401712	1151.715391	182.993894
Clec5a	12.43444221	2056.561369	150.3840218	14.37382481	13.29605595	14.52569289	14.49592853	13.70027621	13.94970029	264.5036913	131.7666497	275.0992762	15.55507482	17.00622638	14.20569789	14.109815	16.67669985	16.92053381	14.70314649	134.7120483	17.00381262	14.86667293	17.09494604	470.2084184	453.7877547
4930438A08Rik	26.41265652	1999.651315	38.35109585	23.83216326	26.5928302	31.00061141	27.09550681	26.93848233	28.2947915	27.47119675	26.50770605	25.75326485	28.80411544	29.20146068	28.0118198	27.04302971	29.24133201	28.69559371	30.21651416	45.16509809	38.09573508	23.11953295	31.81768855	36.63255596	37.98496673
Bmx	17.94832527	1989.955979	18.61766135	22.23667772	17.32802616	16.02780021	14.2900916	14.48227952	14.96455867	14.5136124	15.31247118	13.89081463	13.8622612	14.27239522	15.04501747	13.57516431	14.87655398	15.14761639	14.91316783	365.3640298	13.53468691	18.55090559	17.56214732	14.45039397	22.69547011
Tlr13	27.16443637	1898.428397	443.6118237	26.32599193	41.26311246	32.43814231	32.74825934	30.94857074	30.90176259	1980.294108	1177.04627	726.7399767	31.69582455	23.39576599	28.13460615	25.55324044	24.29264661	30.99916481	25.82111246	2374.111312	23.64062653	25.6166078	25.21895945	396.3660291	414.8099493
Slc15a3	20.64656864	1751.638739	866.4864789	130.6091412	136.022809	75.35527082	108.1390723	30.70440827	39.63740395	1715.718473	4617.316617	2459.553994	189.9455005	46.75610695	22.23321917	66.97891678	307.1392292	319.8911524	35.89140924	704.930402	20.20638479	40.18475945	23.79651248	4760.070196	2092.798901
Ccr1	158.4937649	1746.021883	793.0514622	61.9064698	21.43537566	13.04486702	15.39657489	14.65534886	13.78171399	71.03959283	139.4538113	76.59465001	16.54916824	13.78476418	13.54722077	14.56232026	16.89569321	61.09469395	146.4741693	83.33938341	14.02976499	12.452948	13.41024086	446.7558046	817.0982943
Gpr97	1968.810444	1637.581329	673.3640623	55.3132431	30.44318198	25.34780172	32.22845814	133.8853174	100.5976257	33.52977477	30.87430081	35.4690846	39.46884308	29.21516077	97.29917661	36.74689531	25.55628393	115.0010186	258.3194219	51.2120156	40.10301319	73.00948306	132.4006676	67.98616641	85.48775706
Lin28a	11.73878994	1614.471956	157.1944701	14.81471957	13.32564583	15.27151188	13.50926343	14.19155085	13.70687335	11.80796829	12.76901144	16.15179791	13.84524578	12.10236013	12.61713378	12.57870065	10.88208765	12.60385771	12.80936098	15.25090912	12.98478084	11.6583489	12.90498419	13.86078554	14.92617983
Cd300ld	30.94481331	1557.229374	185.3150526	36.25525413	28.6115067	31.86705536	23.559077	33.58977752	26.44862965	1564.188177	664.971828	2465.268337	29.59010566	29.36963124	28.06398582	29.99721862	36.09076246	31.3918814	31.99291825	861.8405835	34.90219222	34.50359571	32.47106766	89.76044572	248.4519423
Tbc1d10c	445.0882682	1520.254504	875.7867405	986.2482319	856.2245327	193.934734	616.5094958	3260.931429	4452.143375	29.10793177	30.12087151	28.73141056	1892.747738	3556.437781	2636.553295	2528.76506	807.992696	3102.303094	2083.786305	133.5459779	3479.561758	1703.6978	1225.498735	35.64762187	91.02828773
Cyp4f18	21.11767355	1436.293754	3036.056198	889.47059	827.5684189	159.1382957	17.97628251	18.70991241	18.69897308	144.1249764	65.68251478	86.39478124	20.70084943	32.71047221	20.55982075	21.46129772	21.75925222	17.96200186	19.34661236	2206.52012	16.87952999	37.23546078	20.93602762	286.4059521	550.1216494
Nfam1	58.53519911	1402.945604	190.9563623	33.43215735	35.68986298	27.08388655	24.88104642	30.80570819	26.21009997	221.9143183	103.7871444	218.8091225	27.2313585	27.02420902	29.40901468	25.71249853	29.48228739	28.69692147	31.3960954	670.8145233	24.07654951	25.39935588	24.60593027	168.6159899	417.5387089
